English,Persian
gnome ,گنوم
default gnome theme ,تمپیشفرض گنوم
ok ,تایید
art ,هنر
camera ,دوربین
certified ,تاییدشده
cool ,باحال
danger ,خطر
desktop ,رومیزی
distinguished ,برجسته
draft ,پیشنویس
handshake ,دست دادن
marketing ,بازاریابی
money ,پول
multimedia ,چندرسانه ای
note ,یادداشت
oh no   ,وای نه
people ,مردم
personal ,شخصی
pictures ,تصاویر
plan ,طرح
presentation ,نمایش
sales ,فروش
sound ,صدا
trash ,زباله دان
favorite ,محبوب
important ,مهم
mail ,نامه
package ,بسته
no read ,نخواندنی
urgent ,فوری
web ,وب
aisleriot solitaire ,بازی با ورقتکنفرهیaisleriot
play many different solitaire games ,بازی های مختلف یک نفره بازی کنید
solitaire  ;   cards  ;   klondike  ;   spider  ;   freecell  ;   patience  ;    ,تکنفره ؛ کارت ؛ کلوندایک ؛ اسپایدر ؛ فریسل ؛ صبر ؛
theme file name ,نام پروندهی تم
the name of the file with the graphics for the cards .   ,نام پروندهی گرافیک کارت ها .
whether or not to show the toolbar ,این که نوار ابزار نشان دادهشود یا نه
whether or not to show the status bar ,این که نوار وضعیت نشان دادهشود یا نه
select the style of control ,انتخاب سبک کنترل
select whether to drag the cards or to click on the source then the destination .   ,انتخاب این که کارت ها کشیدهشوند یا این که اول روی مبداا و بعد روی مقصد کلیک شود
whether or not to play event sounds .   ,این که صدای رویدادهای پخش شود یا نه .
animations ,پویانمایی ها
whether or not to animate card moves .   ,اینکه از پویانمایی در حرکت کارتها استفاده شود یا نه .
the game file to use ,پروندهی بازی مورد استفاده
the name of the scheme file containing the solitaire game to play .   ,نام پروندهی شمای حاوی بازی های یک نفره برای بازی .
statistics of games played ,امار بازی های انجام شده
a list of strings that come in the form of a quintuple  :    name    wins    total games played    best time  (  in seconds )   and worst time  (  also in seconds )   .   unplayed games do not need to be represented .   ,فهرستی از رشته ها که به شکلپنجتایی هستند : نام ، بردها ، مجموع بازی های انجام شده ، بهترین زمان ( به ثانیه ) و بدترین زمان ( ان هم به ثانیه ) . بازی های بازی نشده نمایش داده نمیشوند .
recently played games ,بازی های بهتازگی بازی شده
a list of recently played games .   ,یک فهرست از بازی های بهتازگی بازی شده .
new game ,بازی جدید
change game ,تغییر بازی
statistics ,امار
fullscreen ,تمام صفحه
help ,راهنما
about aisleriot ,درباره ایلرایت
quit ,خروج
select game ,انتخاب بازی
 select ,انتخاب
 contents ,م حتویات
 fullscreen ,تمام صفحه
 hint ,"راهنمایی new "" isforthemenuitemgamenew ، implies "" newgame"
 new ,جدید newgame
 new game ,بازی جدید
 redo move ,انجام مجدد حرکتreset
 reset ,"راهاندازی مجدد restart "" isthemenuitemgamerestart ، implies "" restartgame"
 restart ,شروع مجدد
 undo move ,برگردان حرکت
 deal ,معامله
 leave fullscreen ,تر ک حالت تمامصفحه
 pause ,مکث
