English,target
close the history window ,بستن پنجره تاریخچه
disable camera ,غیرفعالکردن دوربین
show the selected bookmark or topic in the bookmarks bar ,نشان دادن چوبالف یا موضوع انتخاب شده در نوار چوبالف ها
email address for submitting bug reports to gnome bugzilla .   this address will be used for correspondence regarding the bug you are submitting .   if you already have a gnome bugzilla account    please use it as your email address .   ,نشانی پست الکترونیک برای فرستادن گزارش های اشکال بهباگزیلایگنوم . این نشانی برای مکاتبه در مورد اشکالی که اکنون میفرستید ، استفاده خواهد شد . اگر قبلا حسابی درباگزیلایگنوم دارید ، لطفا ان را به عنوان نشانی پست الکترونیکی خود وارد کنید .
modified  :    ,زمان تغییر :
error printing file  :     ,خطا در چاپ پرونده :
open a copy of the current document in a new window ,ذخیره یک نسخه از نوشتار فعلی
cannot get folder   '     '     :    not a directory .   ,نمیتوان پوشهی « » را گرفت : شاخهیmaildir نیست .
building  :    ,ساختمان :
facebook ,فیسبوک
find next occurrence of the word or phrase ,پیدا کردن مورد بعدی کلمه یا عبارت
 network  (  ip    wi -  fi )   ,شبکه ( ip ، wifi )
greek  (   iso -  8859 -  7 )   ,یونانی ( iso8859 7 )
placed ,تماس های انجام شده
storage  ;   space  ;   cleanup  ;    ,storage ؛ space ؛ cleanup ؛ ذخیره ؛ فضا ؛ پاکسازی ؛
belarusian latin ,لاتین بلاروسی
vietnamese  (   windows -  1258 )   ,ویتنامی ( windows1258 )
please enter your first name and your surname  :    ,لطفا نام و نام خانوادگیتان را وارد کنید :
dock application window ,شناور کردن پنجره برنامه
 -   take photos and videos from your webcam ,با وبکم خود عکس و ویدیو بگیرید
 published name  :    ,نام منتشره :
move  left ,انتقال به چپ :
c ontinue ,ادامه
transfer the current call ,انتقال تماس فعلی
the project could not be opened ,پروژه قابلبازکردن نیست
embedded component ,مولفهی تعبیهشده
gnome web browser website ,وبگاهمرورگروب گنوم
the ace of clubs ,اسخاج
five foundations ,پنج پایه
use a countdown ,استفاده از شمارش معکوس
example  :    username ,مثال : username
call forwarded ,اتماس ارجاع داده شد
epiphany can  '   t be used now .   mozilla initialization failed .   ,epiphany در حال حاضر قابل استفاده نیست . راهاندازی موزیلا شکستخورد .
open the selected image with a different application ,تصویر گزیده شده را با برنامهی دیگری باز کنید
rename the selected bookmark or topic ,تغییر نام نشانک یا موضوع انتخاب شده
voice call ended ,تماس صوتی پایان یافت
m ethod  :    ,شیوه :
web website ,پایگاهوبمرورگروب گنوم
the gnome web browser is distributed in the hope that it will be useful    but without any warranty  ;    without even the implied warranty of merchantability or fitness for a particular purpose .   see the gnu general public license for more details .   ,مروگروبگنوم با این امید که مفید باشد توزیع شده است ، اما بدون هر گونهضمانتی ؛ حتی بدون ضمانت ضمنی قابل فروش بودن یا مناسب بودن برای یک هدف مشخص . برای جزییات بیشتر بهاجازهنامهی همگانی عمومی گنو را ببینید .
i mport  ,صادر کردن
edit  ,ویرایش
clubs ,خاج
unrecognized desktop file version   '     '    ,نسخهیپروندهی میزکار نامشخص « »
redeals left  :     a ,معامله های مجدد باقیمانده : a
launch in terminal ?   ,اجرای فرمان در پایانه
password  :    ,گذرواژه :
brasero disc burner ,سورانندهیدیسک برازرو
take a photo using a webcam ,یک عکس از طریق وبکم بگیرید
zebra ,گورخرcardsymbol
there was an error while trying to connect to the telepathy account manager .   the error was  :     ,هنگام اتصال به مدیریت حساب تلپاتی خطایی رخ داد . خطا این بود :
chat on google talk    facebook    msn and many other chat services ,گپ در گوگلتاک ، فیسبوک ، اماسان ، و بسیاری سرویس های دیگر گپ
autodetect ,تشخیص خودکار
pop up notifications when a contact logs out ,وقتی اشنایی خارج میشود ، اطلاعیه های واشو انجام شود
application style ,سبک برنامه :
the king of diamonds ,شاه خشت
place the three of diamonds next to the two of diamonds .   ,انتقال a بر روی دو خشت .
unknown suit ,خال نامعلوم
gconf error  :     ,خطای gconf :
please ensure that your internet connection is active and working correctly .   ,لطفا مطمینشوید که اتصال اینترنت شما فعال است و به درستی کار میکند .
tty ,tty
secure webdav  (  https )   ,webdav امن ( https )
failed to reload document .   ,بار کردن مجدد سند شکستخورد .
 element could not be created ,عنصر قابل ایجاد نبود
view options ,پیدا کردن گزینه ها
art ,هنر
image files ,پرونده های تصویر
share ,بهاشتراکگذاری
vietnamese  (  v ps )   ,ویتنامی ( vps )
server username  :    ,نام خانوادگی :
total filesystem usage ,کل فضای مصرفی سیستم پرونده ها :
open the selected video ,بازکردنویدیو انتخاب شده
contrast ,شفافیت
document contains form fields that have been filled out .   if you don  '   t save a copy    changes will be permanently lost .   ,سند دارای فیلدهایی است که پر شدهاند . اگر یک رونوشت ذخیره نکنید ، تغییرات برای همیشه پاک خواهند شد .
one button dynamic mode ,حالت کلیدهای فشاری :
place the jack of diamonds next to the ten of diamonds .   ,قراردادن سرباز خشت در کنار ده خشت .
" ""   ""   expects the third argument to be a string ",« » انتظار دارد ارگومان اول رشته باشد
the video channel number to use  (  to select camera    tv or other sources )   ,شمارهی کانال ویدیویی استفاده شونده ( برای انتخاب دوربین ، تلویزیون یا منابع دیگر )
unregistered  ,ثبت نشده از دربان
make  more copies ,ساخترونوشت های بیشتر
dvd r dual layer ,dvdr دو لایه
 cancel logout ,انصراف از خروج از سیستم
single level ,یک سطح
 recently played ,نام بازیکن ها
cards remaining  :     a ,باقیمانده :
gamma ,گاما
time between key transitions ,زمان بین انتقال کلید
 chat ,گپmenuitem
 icelandic  (  macicelandic )   ,ایسلندی ( macicelandic )
danish ,دانمارکی
select  all ,انتخاب همه
bug buddy was unable to retrieve information regarding the version of gnome you are running .   this is most likely due to a missing installation of gnome -  desktop .   ,باگبادی نتوانست به اطلاعات مرتبط با نسخهگنوم شما را دست پیدا کند . به احتمال زیاد دلیل این مسیله عدم نصبgnomedesktop است .
a ctivate ,به کار انداختن
align left ,تراز به چپ
shows the image date in the window statusbar ,نشان دادن پنهان کردن نوار وضعیت پنجره .
select fonts for bar western ,غربی bar
nic kname  :    ,نام مستعار :
menu mode ,حالت منو
pause or resume the slideshow ,پخش یا مکث نمایش اسلایدی
300%  ,300 ٪
gaps ,شکاف
website  :    ,وبگاه :
activate next tab ,فعال کردن زبانه بعدی
cyrillic ukrainian  (   koi8 -  u )   ,سیریلی اوکراینی ( koi8u )
close  without saving ,بستن بدون ذخیره کردن
translator -  credits ,روزبهپورنادر میلاد زکریاالنازسربرhit ( s ) onthispage
empathy ,امپاتی
open in a single window    if multiple windows are open the first one is used ,بازکردن در پنجره واحد ، اگر چند پنجره باز است از اولی استفاده میشود
posting failed  :    ,پست شکست خورد :
scaled ,مقیاس شد
aim work screen name 3 ,نام نمایشی aimکاری 3
terminal ,پایانه
certificate uses an insecure cipher algorithm or is cryptographically weak ,گواهی از یک الگوریتم رمز ناامن استفاده میکند یا از نظر رمزنگاری ضعیف است
control ,مهار
simulation of cd copying ,شبیهسازی رونوشت از سیدی
progress ,پیشرفت
auld lang syne ,اولدلنگ سین
