English,Persian
"GNOME
","گنوم
"
"Default GNOME Theme
","تم پیش‌فرض گنوم
"
"OK
","تأیید
"
"Art
","هنر
"
"Camera
","دوربین
"
"Certified
","تأییدشده
"
"Cool
","باحال
"
"Danger
","خطر
"
"Desktop
","رومیزی
"
"Distinguished
","برجسته
"
"Draft
","پیش‌نویس
"
"Handshake
","دست دادن
"
"Marketing
","بازاریابی
"
"Money
","پول
"
"Multimedia
","چندرسانه‌ای
"
"Note
","یادداشت
"
"Oh no!
","وای نه!
"
"People
","مردم
"
"Personal
","شخصی
"
"Pictures
","تصاویر
"
"Plan
","طرح
"
"Presentation
","نمایش
"
"Sales
","فروش
"
"Sound
","صدا
"
"Trash
","زباله‌دان
"
"Favorite
","محبوب
"
"Important
","مهم
"
"Mail
","نامه
"
"Package
","بسته
"
"No read
","نخواندنی
"
"Urgent
","فوری
"
"Web
","وب
"
"GNOME
","گنوم
"
"Default GNOME Theme
","تم پیش‌فرض گنوم
"
"OK
","تأیید
"
"Art
","هنر
"
"Camera
","دوربین
"
"Certified
","تأییدشده
"
"Cool
","باحال
"
"Danger
","خطر
"
"Desktop
","رومیزی
"
"Distinguished
","برجسته
"
"Draft
","پیش‌نویس
"
"Handshake
","دست دادن
"
"Marketing
","بازاریابی
"
"Money
","پول
"
"Multimedia
","چندرسانه‌ای
"
"Note
","یادداشت
"
"Oh no!
","وای نه!
"
"People
","مردم
"
"Personal
","شخصی
"
"Pictures
","تصاویر
"
"Plan
","طرح
"
"Presentation
","نمایش
"
"Sales
","فروش
"
"Sound
","صدا
"
"Trash
","زباله‌دان
"
"Favorite
","محبوب
"
"Important
","مهم
"
"Mail
","نامه
"
"Package
","بسته
"
"No read
","نخواندنی
"
"Urgent
","فوری
"
"Web
","وب
"
"GNOME
","گنوم
"
"Default GNOME Theme
","تم پیش‌فرض گنوم
"
"OK
","تأیید
"
"Art
","هنر
"
"Camera
","دوربین
"
"Certified
","تأییدشده
"
"Cool
","باحال
"
"Danger
","خطر
"
"Desktop
","رومیزی
"
"Distinguished
","برجسته
"
"Draft
","پیش‌نویس
"
"Handshake
","دست دادن
"
"Marketing
","بازاریابی
"
"Money
","پول
"
"Multimedia
","چندرسانه‌ای
"
"Note
","یادداشت
"
"Oh no!
","وای نه!
"
"People
","مردم
"
"Personal
","شخصی
"
"Pictures
","تصاویر
"
"Plan
","طرح
"
"Presentation
","نمایش
"
"Sales
","فروش
"
"Sound
","صدا
"
"Trash
","زباله‌دان
"
"Favorite
","محبوب
"
"Important
","مهم
"
"Mail
","نامه
"
"Package
","بسته
"
"No read
","نخواندنی
"
"Urgent
","فوری
"
"Web
","وب
"
"GNOME
","گنوم
"
"Default GNOME Theme
","تم پیش‌فرض گنوم
"
"OK
","تأیید
"
"Art
","هنر
"
"Camera
","دوربین
"
"Certified
","تأییدشده
"
"Cool
","باحال
"
"Danger
","خطر
"
"Desktop
","رومیزی
"
"Distinguished
","برجسته
"
"Draft
","پیش‌نویس
"
"Handshake
","دست دادن
"
"Marketing
","بازاریابی
"
"Money
","پول
"
"Multimedia
","چندرسانه‌ای
"
"Note
","یادداشت
"
"Oh no!
","وای نه!
"
